Time stamp;Hartham GS;Walkern Mill;Aston pump house;Frogmore;Watton at Stone
01.08.1979;0,768;0,099;0,048;0,081;0,102
02.08.1979;0,684;0,078;0,041;0,067;0,087
03.08.1979;0,657;0,071;0,038;0,063;0,082
04.08.1979;0,644;0,068;0,037;0,061;0,08
05.08.1979;0,642;0,067;0,037;0,06;0,079
06.08.1979;0,628;0,064;0,036;0,058;0,077
07.08.1979;0,775;0,101;0,049;0,082;0,104
08.08.1979;0,895;0,131;0,06;0,102;0,126
09.08.1979;1,41;0,261;0,107;0,186;0,221
10.08.1979;0,772;0,1;0,049;0,082;0,103
11.08.1979;0,683;0,077;0,041;0,067;0,087
12.08.1979;0,677;0,076;0,04;0,066;0,086
13.08.1979;0,672;0,075;0,04;0,065;0,085
14.08.1979;0,67;0,074;0,04;0,065;0,084
15.08.1979;0,638;0,066;0,037;0,06;0,078
16.08.1979;0,659;0,071;0,039;0,063;0,082
17.08.1979;0,847;0,119;0,056;0,094;0,117
18.08.1979;0,672;0,075;0,04;0,065;0,085
19.08.1979;0,633;0,065;0,036;0,059;0,078
20.08.1979;0,623;0,062;0,035;0,057;0,076
21.08.1979;0,65;0,069;0,038;0,062;0,081
22.08.1979;0,621;0,062;0,035;0,057;0,075
23.08.1979;0,625;0,063;0,035;0,058;0,076
24.08.1979;0,689;0,079;0,041;0,068;0,088
25.08.1979;0,638;0,066;0,037;0,06;0,078
26.08.1979;0,622;0,062;0,035;0,057;0,075
27.08.1979;0,638;0,066;0,037;0,06;0,078
28.08.1979;0,618;0,061;0,035;0,056;0,075
29.08.1979;0,597;0,056;0,033;0,053;0,071
30.08.1979;0,584;0,052;0,032;0,051;0,068
31.08.1979;0,581;0,052;0,031;0,05;0,068
01.09.1979;0,59;0,054;0,032;0,052;0,07
02.09.1979;0,592;0,054;0,032;0,052;0,07
03.09.1979;0,583;0,052;0,032;0,051;0,068
04.09.1979;0,531;0,039;0,027;0,042;0,059
05.09.1979;0,545;0,043;0,028;0,044;0,061
06.09.1979;0,551;0,044;0,029;0,045;0,062
07.09.1979;0,556;0,045;0,029;0,046;0,063
08.09.1979;0,568;0,048;0,03;0,048;0,066
09.09.1979;0,555;0,045;0,029;0,046;0,063
10.09.1979;0,535;0,04;0,027;0,043;0,059
11.09.1979;0,524;0,037;0,026;0,041;0,057
12.09.1979;0,549;0,044;0,029;0,045;0,062
13.09.1979;0,514;0,035;0,025;0,039;0,056
14.09.1979;0,533;0,04;0,027;0,043;0,059
15.09.1979;0,525;0,038;0,026;0,041;0,058
16.09.1979;0,524;0,037;0,026;0,041;0,057
17.09.1979;0,507;0,033;0,025;0,038;0,054
18.09.1979;0,516;0,035;0,026;0,04;0,056
19.09.1979;0,604;0,057;0,034;0,054;0,072
20.09.1979;0,61;0,059;0,034;0,055;0,073
21.09.1979;0,55;0,044;0,029;0,045;0,062
22.09.1979;0,578;0,051;0,031;0,05;0,067
23.09.1979;0,546;0,043;0,028;0,045;0,061
24.09.1979;0,523;0,037;0,026;0,041;0,057
25.09.1979;0,522;0,037;0,026;0,041;0,057
26.09.1979;0,532;0,039;0,027;0,042;0,059
27.09.1979;0,501;0,032;0,024;0,037;0,053
28.09.1979;0,502;0,032;0,024;0,037;0,053
29.09.1979;0,508;0,033;0,025;0,038;0,054
30.09.1979;0,525;0,038;0,026;0,041;0,058
01.10.1979;0,509;0,034;0,025;0,039;0,055
02.10.1979;0,505;0,033;0,025;0,038;0,054
03.10.1979;0,506;0,033;0,025;0,038;0,054
04.10.1979;0,503;0,032;0,024;0,038;0,054
